account,date,daily_pnl,trade_count,avg_trade_size,long_count,short_count,win_trades,win_rate,long_short_ratio,is_profitable,value,classification,sentiment
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-20,646.76766,32,5200.375,1,31,31,0.96875,0.03125,1,49.0,Neutral,Neutral
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-22,4462.921835,63,23714.2,57,6,61,0.9682539682539683,8.142857142857142,1,32.0,Fear,Fear
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-24,80.95313,26,740.6846153846153,23,3,22,0.8461538461538461,5.75,1,45.0,Neutral,Neutral
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-25,520.971268,29,3958.7999999999997,15,14,26,0.896551724137931,1.0,1,46.0,Neutral,Neutral
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-26,96.945218,79,8938.177215189873,28,51,25,0.31645569620253167,0.5384615384615384,1,47.0,Neutral,Neutral
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-29,133.123947,83,12438.506024096385,2,81,66,0.7951807228915663,0.024390243902439025,1,26.0,Fear,Fear
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-31,1239.24045,52,206.42307692307693,1,51,51,0.9807692307692307,0.019230769230769232,1,34.0,Fear,Fear
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-02,90.98474,11,236324.0,9,2,9,0.8181818181818182,3.0,1,44.0,Fear,Fear
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-06,3370.85855,39,1562.8358974358973,3,36,36,0.9230769230769231,0.08108108108108109,1,34.0,Fear,Fear
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-08,948.85929,43,638.9302325581396,1,42,42,0.9767441860465116,0.023255813953488372,1,24.0,Extreme Fear,Fear
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-09,1593.7933500000001,15,832.8,6,9,6,0.4,0.6,1,18.0,Extreme Fear,Fear
